function,taylor_expansion
x**3 - 2*x*sin(x) + 3*sin(x) - 3/(x + 1),-8*x**4/3 + 7*x**3/2 - 5*x**2 + 6*x - 3
-2*x**2 - 2*log(x + 1) + 3*cos(x)**2 + 3/(x + 1),9*x**4/2 - 11*x**3/3 - x**2 - 5*x + 6
-2*x**3 + 3*x**2 + cos(x)/3,x**4/72 - 2*x**3 + 17*x**2/6 + 1/3
cos(x)**2/2 + cosh(x)/3,13*x**4/72 - x**2/3 + 5/6
3*x*cos(x) + sin(x)/3 - 3*sin(2*x),22*x**3/9 - 8*x/3
3*x*sin(x) - exp(x) + 3*sinh(x),-13*x**4/24 + x**3/3 + 5*x**2/2 + 2*x - 1
x**3 + 2*x*cos(x) - cosh(x),-x**4/24 - x**2/2 + 2*x - 1
sqrt(x + 1) - 2*exp(x) - 2*sin(x)**2,209*x**4/384 - 13*x**3/48 - 25*x**2/8 - 3*x/2 - 1
3*x**3 + x/3 + sqrt(x + 1) - 3*sin(x),-5*x**4/128 + 57*x**3/16 - x**2/8 - 13*x/6 + 1
-exp(x) - 2*cos(x) - 2*cos(2*x) + 1/(3*(x + 1)),-9*x**4/8 - x**3/2 + 29*x**2/6 - 4*x/3 - 14/3
2*sqrt(x + 1) - tan(x) + 3*tanh(x),-5*x**4/64 - 29*x**3/24 - x**2/4 + 3*x + 2
tan(x)/2 - 2*sinh(x) + exp(-x),x**4/24 - x**3/3 + x**2/2 - 5*x/2 + 1
-3*x*sin(x) + sinh(x),x**4/2 + x**3/6 - 3*x**2 + x
log(x + 1)/2 + sin(2*x) + 2/(x + 1),15*x**4/8 - 19*x**3/6 + 7*x**2/4 + x/2 + 2
x**3/3 + 2*log(x + 1) - 2*sin(2*x),-x**4/2 + 11*x**3/3 - x**2 - 2*x
-exp(x) + 2*sin(x)**2 + cos(x)**2/2,-13*x**4/24 - x**3/6 + x**2 - x - 1/2
-x*sin(x) + x/3 - 2*sin(x)**2,5*x**4/6 - 3*x**2 + x/3
x**2/2 + x*cos(x)/3 + tan(x) - tanh(x),x**3/2 + x**2/2 + x/3
sin(2*x)/3 + cos(x) + cosh(x)/3 + exp(-x),7*x**4/72 - 11*x**3/18 + x**2/6 - x/3 + 7/3
sin(2*x)/3 - 3*cos(2*x) + 2/(x + 1),-22*x**3/9 + 8*x**2 - 4*x/3 - 1
-3*exp(x) - 3*cos(x) + sinh(x),-x**4/4 - x**3/3 - 2*x - 6
-sqrt(x + 1) - 2*exp(x) - 3*tanh(x) + 3*exp(-x),31*x**4/384 + 5*x**3/48 + 5*x**2/8 - 17*x/2
2*x**2 + 2*sin(x) + exp(-x),x**4/24 - x**3/2 + 5*x**2/2 + x + 1
-2*cos(x)**2 + tan(x),-2*x**4/3 + x**3/3 + 2*x**2 + x - 2
sin(2*x)/3 + 2*cos(x),x**4/12 - 4*x**3/9 - x**2 + 2*x/3 + 2
sin(x)**2/3 - sin(x) + 2*tan(x),-x**4/9 + 5*x**3/6 + x**2/3 + x
sqrt(x + 1)/3 - cos(x),-7*x**4/128 + x**3/48 + 11*x**2/24 + x/6 - 2/3
x**2/3 + log(x + 1)/2 + cosh(x) + 2*exp(-x),-x**3/6 + 19*x**2/12 - 3*x/2 + 3
x**3 - 3*x - sin(2*x) + cos(x)**2,x**4/3 + 7*x**3/3 - x**2 - 5*x + 1
3*x**3 + exp(x) - 3*cos(2*x) + exp(-x)/3,-35*x**4/18 + 28*x**3/9 + 20*x**2/3 + 2*x/3 - 5/3
2*cosh(x) - tanh(x) + 1/(3*(x + 1)),5*x**4/12 + 4*x**2/3 - 4*x/3 + 7/3
2*x*cos(x) + 3*x - sin(x) - 3*cos(x),-x**4/8 - 5*x**3/6 + 3*x**2/2 + 4*x - 3
-3*log(x + 1) + 3*cos(2*x),11*x**4/4 - x**3 - 9*x**2/2 - 3*x + 3
x**3/3 + x*sin(x)/2 - 3*sin(2*x),-x**4/12 + 13*x**3/3 + x**2/2 - 6*x
-x*sin(x) + 3*sin(x) - cos(2*x),-x**4/2 - x**3/2 + x**2 + 3*x - 1
x**2/3 + tanh(x)/2,-x**3/6 + x**2/3 + x/2
cos(x)**2 + 1/(2*(x + 1)),5*x**4/6 - x**3/2 - x**2/2 - x/2 + 3/2
3*sin(x)**2 + 3*tan(x) + 3*cosh(x),-7*x**4/8 + x**3 + 9*x**2/2 + 3*x + 3
-x**2 + 3*x*cos(x) + sinh(x)/2 + 2*cosh(x),x**4/12 - 17*x**3/12 + 7*x/2 + 2
x*cos(x) - 2*cos(x) + cos(2*x)/2,x**4/4 - x**3/2 + x - 3/2
-2*x*cos(x) - exp(x) - 3*sin(2*x) + sinh(x),-x**4/24 + 5*x**3 - x**2/2 - 8*x - 1
2*x**3 + 2*x**2 + sinh(x)/2 + exp(-x)/3,x**4/72 + 73*x**3/36 + 13*x**2/6 + x/6 + 1/3
sin(x)**2 + sin(x) + cos(x)**2/3 + exp(-x),-13*x**4/72 - x**3/3 + 7*x**2/6 + 4/3
-3*x**3 - 3*x - 2*log(x + 1),x**4/2 - 11*x**3/3 + x**2 - 5*x
-x*cos(x) - log(x + 1) + sin(x) - 2/(x + 1),-7*x**4/4 + 2*x**3 - 3*x**2/2 + x - 2
cos(x)**2/2 - 3*cos(x) + tan(x)/3 + 1/(3*(x + 1)),3*x**4/8 - 2*x**3/9 + 4*x**2/3 - 13/6
-2*x**2 + cos(2*x)/3 + exp(-x)/3,17*x**4/72 - x**3/18 - 5*x**2/2 - x/3 + 2/3
-2*x*cos(x) + tan(x)/3,10*x**3/9 - 5*x/3
-sqrt(x + 1) - exp(x) - cos(2*x),-257*x**4/384 - 11*x**3/48 + 13*x**2/8 - 3*x/2 - 3
sin(2*x)/2 + cos(x)**2/2 + 2*exp(-x),x**4/4 - x**3 + x**2/2 - x + 5/2
-2*x**3 - 2*x*sin(x) + log(x + 1)/2 - 2*cos(2*x),-9*x**4/8 - 11*x**3/6 + 7*x**2/4 + x/2 - 2
x**2/3 + 3*sin(x) + cos(x)**2/3,x**4/9 - x**3/2 + 3*x + 1/3
x*sin(x)/2 - 3*sin(x) + 2*sin(2*x),-x**4/12 - 13*x**3/6 + x**2/2 + x
-3*log(x + 1) + cos(x)**2 + exp(-x)/3,79*x**4/72 - 19*x**3/18 + 2*x**2/3 - 10*x/3 + 4/3
-2*x*sin(x) + cos(2*x) + exp(-x),25*x**4/24 - x**3/6 - 7*x**2/2 - x + 2
2*x**3 + x/3 + 3*sinh(x),5*x**3/2 + 10*x/3
2*cos(x)**2 + 1/(2*(x + 1)),7*x**4/6 - x**3/2 - 3*x**2/2 - x/2 + 5/2
-2*cos(x)**2 - 2*cosh(x),-3*x**4/4 + x**2 - 4
x*cos(x)/2 - 3*cosh(x) - 3*tanh(x),-x**4/8 + 3*x**3/4 - 3*x**2/2 - 5*x/2 - 3
x**3 - 2*x + tan(x)/2 + sinh(x)/3,11*x**3/9 - 7*x/6
x/3 + cos(x)**2/2 - 3*exp(-x),x**4/24 + x**3/2 - 2*x**2 + 10*x/3 - 5/2
x*sin(x)/2 - 3*sin(x)**2 + cos(x)**2/3,37*x**4/36 - 17*x**2/6 + 1/3
sin(x) + cos(2*x)/3 - 2*exp(-x),5*x**4/36 + x**3/6 - 5*x**2/3 + 3*x - 5/3
3*x**2 + exp(x)/3 + sin(2*x) + cos(x)/3,x**4/36 - 23*x**3/18 + 3*x**2 + 7*x/3 + 2/3
x**3/2 - 3*x + 3*log(x + 1),-3*x**4/4 + 3*x**3/2 - 3*x**2/2
2*x**2 - sqrt(x + 1),5*x**4/128 - x**3/16 + 17*x**2/8 - x/2 - 1
exp(x) + 3*sin(x)**2 + 3*sin(x),-23*x**4/24 - x**3/3 + 7*x**2/2 + 4*x + 1
2*x**2 + sin(x)**2/3 + cosh(x)/3,-7*x**4/72 + 5*x**2/2 + 1/3
2*x + 2*sin(2*x) + 3*tanh(x),-11*x**3/3 + 9*x
-3*x*cos(x) + exp(x)/3 + sinh(x),x**4/72 + 31*x**3/18 + x**2/6 - 5*x/3 + 1/3
sqrt(x + 1)/2 + exp(x)/3 + log(x + 1)/2 + sin(x)/2,-301*x**4/2304 + 49*x**3/288 - 7*x**2/48 + 19*x/12 + 5/6
x*sin(x) - 2*sin(x)**2 - tan(x),x**4/2 - x**3/3 - x**2 - x
-2*x*sin(x) + sin(2*x) + 3*cosh(x) + 2/(x + 1),59*x**4/24 - 10*x**3/3 + 3*x**2/2 + 5
x - sqrt(x + 1) + tanh(x)/2,5*x**4/128 - 11*x**3/48 + x**2/8 + x - 1
x**2 - sqrt(x + 1) - 3*cos(x),-11*x**4/128 - x**3/16 + 21*x**2/8 - x/2 - 4
2*x + cos(x)**2/2,x**4/6 - x**2/2 + 2*x + 1/2
3*x + 3*exp(x) - 2*sin(x)**2 + 3*exp(-x),11*x**4/12 + x**2 + 3*x + 6
sinh(x)/3 - cosh(x) + 1/(x + 1),23*x**4/24 - 17*x**3/18 + x**2/2 - 2*x/3
x**3 - 3*sin(x) + 1/(2*(x + 1)),x**4/2 + x**3 + x**2/2 - 7*x/2 + 1/2
-x**2 - 3*x*sin(x) + 2*log(x + 1),2*x**3/3 - 5*x**2 + 2*x
2*x*cos(x) + cosh(x)/3,x**4/72 - x**3 + x**2/6 + 2*x + 1/3
-x*sin(x) + x*cos(x)/2 + 2*sinh(x) + 3*exp(-x),7*x**4/24 - 5*x**3/12 + x**2/2 - x/2 + 3
2*x**2 + 3*sin(x)**2,-x**4 + 5*x**2
-sqrt(x + 1) - exp(x) - 3*sin(x),-x**4/384 + 13*x**3/48 - 3*x**2/8 - 9*x/2 - 2
x**3 - 2*sqrt(x + 1) + 2*cos(x)**2,143*x**4/192 + 7*x**3/8 - 7*x**2/4 - x
sqrt(x + 1) + sin(x)/3 + cos(2*x)/3,211*x**4/1152 + x**3/144 - 19*x**2/24 + 5*x/6 + 4/3
-2*x*cos(x) + cos(x)**2/3 + tan(x)/3,x**4/9 + 10*x**3/9 - x**2/3 - 5*x/3 + 1/3
x**2/2 + exp(x) + log(x + 1)/3,-x**4/24 + 5*x**3/18 + 5*x**2/6 + 4*x/3 + 1
2*sin(x)**2 + 2*sin(x) - 3*cos(2*x),-8*x**4/3 - x**3/3 + 8*x**2 + 2*x - 3
-3*x*cos(x) - 2*sqrt(x + 1) + sinh(x)/3,5*x**4/64 + 103*x**3/72 + x**2/4 - 11*x/3 - 2
-2*x**2 + tan(x)/2 + cosh(x)/3,x**4/72 + x**3/6 - 11*x**2/6 + x/2 + 1/3
x*sin(x) + x/3 + 3*exp(-x),-x**4/24 - x**3/2 + 5*x**2/2 - 8*x/3 + 3
3*sqrt(x + 1) + sinh(x)/2 + tanh(x),-15*x**4/128 - x**3/16 - 3*x**2/8 + 3*x + 3
2*x*sin(x) + 2*sin(x) - 3*tan(x),-x**4/3 - 4*x**3/3 + 2*x**2 - x
sin(x)**2/2 + cos(x) - 2*cos(2*x),-35*x**4/24 + 4*x**2 - 1
-3*sin(x)**2 + sin(x)/3 - 3*cos(x)**2,-x**3/18 + x/3 - 3
-2*x + 3*cos(x)**2 + cos(x) + cos(2*x)/3,91*x**4/72 - 25*x**2/6 - 2*x + 13/3
-2*x*sin(x) + tanh(x)/2 + 3/(x + 1),10*x**4/3 - 19*x**3/6 + x**2 - 5*x/2 + 3
-3*x**3 - 3*sin(x) + 3*sin(2*x) + 2*cos(x)**2,2*x**4/3 - 13*x**3/2 - 2*x**2 + 3*x + 2
2*log(x + 1) - cos(x),-13*x**4/24 + 2*x**3/3 - x**2/2 + 2*x - 1
x**2 + log(x + 1)/3 + exp(-x)/2,-x**4/16 + x**3/36 + 13*x**2/12 - x/6 + 1/2
-x*sin(x) + sin(x)**2/2 + cos(x) + tan(x)/2,x**4/24 + x**3/6 - x**2 + x/2 + 1
x**3 + sqrt(x + 1) - 2*cos(x)**2,-271*x**4/384 + 17*x**3/16 + 15*x**2/8 + x/2 - 1
x*sin(x)/2 - exp(x) + sin(x)**2/2 + sin(x)/3,-7*x**4/24 - 2*x**3/9 + x**2/2 - 2*x/3 - 1
-3*exp(x) + 3*log(x + 1) + 3*tan(x),-7*x**4/8 + 3*x**3/2 - 3*x**2 + 3*x - 3
2*exp(x) + 2*log(x + 1) + 2/(x + 1),19*x**4/12 - x**3 + 2*x**2 + 2*x + 4
sqrt(x + 1) - exp(x) + 2*sin(x),-31*x**4/384 - 7*x**3/16 - 5*x**2/8 + 3*x/2
2*sqrt(x + 1) - 3*sin(2*x) + 2*cos(x)**2 - sinh(x),113*x**4/192 + 95*x**3/24 - 9*x**2/4 - 6*x + 4
sin(2*x)/2 - 3*exp(-x),-x**4/8 - x**3/6 - 3*x**2/2 + 4*x - 3
-3*sqrt(x + 1) + 2*cos(2*x) - 3*cosh(x),509*x**4/384 - 3*x**3/16 - 41*x**2/8 - 3*x/2 - 4
-3*exp(x) + cos(2*x)/2,5*x**4/24 - x**3/2 - 5*x**2/2 - 3*x - 5/2
sin(x)/2 - 3*exp(-x),-x**4/8 + 5*x**3/12 - 3*x**2/2 + 7*x/2 - 3
-3*sin(x)**2 + sin(x)/2 + 3*cos(x) - sinh(x),9*x**4/8 - x**3/4 - 9*x**2/2 - x/2 + 3
cos(x)/2 - cos(2*x),-31*x**4/48 + 7*x**2/4 - 1/2
sin(x)/2 - cos(2*x) - 2*sinh(x) + cosh(x),-5*x**4/8 - 5*x**3/12 + 5*x**2/2 - 3*x/2
x/2 + exp(x) - 2*exp(-x),-x**4/24 + x**3/2 - x**2/2 + 7*x/2 - 1
-2*x + 2*log(x + 1) + 3*cosh(x),-3*x**4/8 + 2*x**3/3 + x**2/2 + 3
-3*x*cos(x) + 2*log(x + 1) - cos(x)**2 - 2*cosh(x),-11*x**4/12 + 13*x**3/6 - x**2 - x - 3
2*x**3 - sqrt(x + 1) + cos(x),31*x**4/384 + 31*x**3/16 - 3*x**2/8 - x/2
3*log(x + 1) - 3*cos(x)**2,-7*x**4/4 + x**3 + 3*x**2/2 + 3*x - 3
sin(x)**2/3 + exp(-x)/3,-7*x**4/72 - x**3/18 + x**2/2 - x/3 + 1/3
-3*log(x + 1) + cos(x)**2 + 2*sinh(x),13*x**4/12 - 2*x**3/3 + x**2/2 - x + 1
-2*log(x + 1) + 3*cos(2*x) - 3/(x + 1),-x**4/2 + 7*x**3/3 - 8*x**2 + x
-log(x + 1) - sin(x)**2 + tanh(x),7*x**4/12 - 2*x**3/3 - x**2/2
sqrt(x + 1)/3 - 2*cos(2*x) + 3*cosh(x),-469*x**4/384 + x**3/48 + 131*x**2/24 + x/6 + 4/3
2*x + exp(x) + cos(x),x**4/12 + x**3/6 + 3*x + 2
log(x + 1)/2 - cos(x)**2 + tanh(x),-11*x**4/24 - x**3/6 + 3*x**2/4 + 3*x/2 - 1
3*x**2 + sin(2*x)/3,-4*x**3/9 + 3*x**2 + 2*x/3
2*sin(2*x) + cosh(x),x**4/24 - 8*x**3/3 + x**2/2 + 4*x + 1
-2*x + sin(x)**2 + 3*cos(x)**2,2*x**4/3 - 2*x**2 - 2*x + 3
x**3/3 - 2*sin(2*x),3*x**3 - 4*x
exp(x)/3 + 2*cos(2*x) + tanh(x)/2,97*x**4/72 - x**3/9 - 23*x**2/6 + 5*x/6 + 7/3
-cos(x) + sinh(x)/2,-x**4/24 + x**3/12 + x**2/2 + x/2 - 1
-2*x*sin(x) + x*cos(x)/2 + 2*cos(x) - cos(2*x),-x**4/4 - x**3/4 - x**2 + x/2 + 1
3*log(x + 1) + sin(x)/3 + cosh(x)/3,-53*x**4/72 + 17*x**3/18 - 4*x**2/3 + 10*x/3 + 1/3
3*x**2 + 2*sqrt(x + 1) + 2*exp(x) - sin(x),x**4/192 + 5*x**3/8 + 15*x**2/4 + 2*x + 4
-3*x**3 - 2*x**2 + 3*x - 2*tan(x),-11*x**3/3 - 2*x**2 + x
exp(x)/3 + sin(x) + 3*tanh(x) - exp(-x),-x**4/36 - 17*x**3/18 - x**2/3 + 16*x/3 - 2/3
2*cos(x) - 2*cos(2*x) + exp(-x),-29*x**4/24 - x**3/6 + 7*x**2/2 - x + 1
x + 3*cos(x)**2 - tan(x) + 3*sinh(x),x**4 + x**3/6 - 3*x**2 + 3*x + 3
2*sin(x)**2 + tanh(x)/3,-2*x**4/3 - x**3/9 + 2*x**2 + x/3
-x**2 + x*sin(x) - 2*cos(x) + 1/(2*(x + 1)),x**4/4 - x**3/2 + 3*x**2/2 - x/2 - 3/2
2*x**2 + x*sin(x)/3 + 3*exp(x),5*x**4/72 + x**3/2 + 23*x**2/6 + 3*x + 3
x**3 - 2*sqrt(x + 1) + 2/(x + 1),133*x**4/64 - 9*x**3/8 + 9*x**2/4 - 3*x
3*x*cos(x) + 3*x - 3*exp(-x) - 1/(x + 1),-9*x**4/8 - 5*x**2/2 + 10*x - 4
x*sin(x)/3 + x*cos(x)/3 + 3*exp(x),5*x**4/72 + x**3/3 + 11*x**2/6 + 10*x/3 + 3
2*x**2 + 2*sin(x) + 3*sinh(x),x**3/6 + 2*x**2 + 5*x
2*x*cos(x) - 3*sin(x)**2 + 1/(3*(x + 1)),4*x**4/3 - 4*x**3/3 - 8*x**2/3 + 5*x/3 + 1/3
log(x + 1)/2 + 2/(x + 1),15*x**4/8 - 11*x**3/6 + 7*x**2/4 - 3*x/2 + 2
cosh(x) + tanh(x) + exp(-x)/3,x**4/18 - 7*x**3/18 + 2*x**2/3 + 2*x/3 + 4/3
-2*exp(x) - cos(x) - 2*tan(x) + 3*cosh(x),-x**3 + x**2 - 4*x
sqrt(x + 1) + cos(x)/2 - 2*tan(x),-7*x**4/384 - 29*x**3/48 - 3*x**2/8 - 3*x/2 + 3/2
3*x**3 - 3*sin(x) + cos(x)/3,x**4/72 + 7*x**3/2 - x**2/6 - 3*x + 1/3
3*x**3 + sin(x)**2/3 + sin(x)/2 + cos(x)/3,-7*x**4/72 + 35*x**3/12 + x**2/6 + x/2 + 1/3
-3*exp(x) + sin(2*x) - 3*exp(-x),-x**4/4 - 4*x**3/3 - 3*x**2 + 2*x - 6
-3*x*sin(x) + log(x + 1) - 3*sin(x)**2,5*x**4/4 + x**3/3 - 13*x**2/2 + x
x/3 + sin(2*x) - cosh(x),-x**4/24 - 4*x**3/3 - x**2/2 + 7*x/3 - 1
2*sin(2*x) + cos(x)/2 + cos(2*x)/2,17*x**4/48 - 8*x**3/3 - 5*x**2/4 + 4*x + 1
-sin(x)**2 - tan(x),x**4/3 - x**3/3 - x**2 - x
-2*x**2 + x/2 + 3*log(x + 1),-3*x**4/4 + x**3 - 7*x**2/2 + 7*x/2
-2*sin(2*x) + tan(x)/3 + 2/(x + 1),2*x**4 + 7*x**3/9 + 2*x**2 - 17*x/3 + 2
-3*log(x + 1) - 2*exp(-x),2*x**4/3 - 2*x**3/3 + x**2/2 - x - 2
3*x*cos(x) - x + 2*sinh(x),-7*x**3/6 + 4*x
3*x*sin(x) + exp(x)/3 + 2*tan(x),-35*x**4/72 + 13*x**3/18 + 19*x**2/6 + 7*x/3 + 1/3
-sin(x) + tanh(x) + 1/(2*(x + 1)),x**4/2 - 2*x**3/3 + x**2/2 - x/2 + 1/2
x**2/2 + sin(x)/3 + 2/(x + 1),2*x**4 - 37*x**3/18 + 5*x**2/2 - 5*x/3 + 2
x + 2*log(x + 1) + 2*sin(x),-x**4/2 + x**3/3 - x**2 + 5*x
sqrt(x + 1)/3 + sinh(x)/2 + 2*exp(-x),9*x**4/128 - 11*x**3/48 + 23*x**2/24 - 4*x/3 + 7/3
-x*sin(x) - 3*x*cos(x) + sqrt(x + 1)/2,113*x**4/768 + 49*x**3/32 - 17*x**2/16 - 11*x/4 + 1/2
tan(x)/2 + sinh(x)/3 + 3*cosh(x) + 1/(2*(x + 1)),5*x**4/8 - 5*x**3/18 + 2*x**2 + x/3 + 7/2
-2*x**3 + x*cos(x)/2 + 1/(3*(x + 1)),x**4/3 - 31*x**3/12 + x**2/3 + x/6 + 1/3
exp(x)/2 + 2*log(x + 1) + cos(2*x)/3 - 3*tan(x),-37*x**4/144 - x**3/4 - 17*x**2/12 - x/2 + 5/6
x*sin(x)/3 + cos(x)**2/2 - 3*sinh(x) + 2*tanh(x),x**4/9 - 7*x**3/6 - x**2/6 - x + 1/2
-x*cos(x) + exp(x)/3 + 2*sin(x)**2,-47*x**4/72 + 5*x**3/9 + 13*x**2/6 - 2*x/3 + 1/3
3*log(x + 1) + sin(x)/2 - sin(2*x) + cosh(x),-17*x**4/24 + 9*x**3/4 - x**2 + 3*x/2 + 1
2*cos(x)**2 - 3*sinh(x),2*x**4/3 - x**3/2 - 2*x**2 - 3*x + 2
x**2/3 + sin(x)**2 - cos(x)**2 - tan(x),-2*x**4/3 - x**3/3 + 7*x**2/3 - x - 1
x**2/3 - 3*x*cos(x) + sin(2*x)/2,5*x**3/6 + x**2/3 - 2*x
-3*sqrt(x + 1) - 2*cos(2*x) + 1/(x + 1),-83*x**4/384 - 19*x**3/16 + 43*x**2/8 - 5*x/2 - 4
3*sqrt(x + 1) - exp(x) + log(x + 1)/3,-31*x**4/128 + 19*x**3/144 - 25*x**2/24 + 5*x/6 + 2
-2*x*sin(x) + x*cos(x)/2,x**4/3 - x**3/4 - 2*x**2 + x/2
-2*exp(x) - 2*cos(2*x) - 2*tanh(x),-17*x**4/12 + x**3/3 + 3*x**2 - 4*x - 4
x*cos(x) + sin(x)**2,-x**4/3 - x**3/2 + x**2 + x
sin(x)**2/2 - 3*cos(2*x) + sinh(x) + exp(-x),-17*x**4/8 + 7*x**2 - 2
log(x + 1) + sin(2*x) + cos(x)/2 + 3*cos(2*x),85*x**4/48 - x**3 - 27*x**2/4 + 3*x + 7/2
-sqrt(x + 1) + 2*sin(x) - 1/(x + 1),-123*x**4/128 + 29*x**3/48 - 7*x**2/8 + 5*x/2 - 2
3*x + 2*sin(x)**2 - 3*cos(x)**2,-5*x**4/3 + 5*x**2 + 3*x - 3
-2*x**2 - 3*log(x + 1) + sin(x)**2/2,7*x**4/12 - x**3 - 3*x
2*tan(x) + sinh(x) - cosh(x) + 1/(x + 1),23*x**4/24 - x**3/6 + x**2/2 + 2*x
log(x + 1) + 3*cos(2*x) + 1/(3*(x + 1)),25*x**4/12 - 37*x**2/6 + 2*x/3 + 10/3
-3*x*cos(x) + cos(2*x)/2 - tanh(x),x**4/3 + 11*x**3/6 - x**2 - 4*x + 1/2
-3*cos(x) - 3/(x + 1),-25*x**4/8 + 3*x**3 - 3*x**2/2 + 3*x - 6
-3*sin(2*x) + cos(x) + exp(-x),x**4/12 + 23*x**3/6 - 7*x + 2
tan(x)/2 + 2*tanh(x) + 1/(3*(x + 1)),x**4/3 - 5*x**3/6 + x**2/3 + 13*x/6 + 1/3
x*cos(x)/2 + x/2 + cosh(x)/3 + 2*tanh(x),x**4/72 - 11*x**3/12 + x**2/6 + 3*x + 1/3
-3*x**3 + sqrt(x + 1)/3 - 3*sin(x)**2 - 2*sinh(x),379*x**4/384 - 53*x**3/16 - 73*x**2/24 - 11*x/6 + 1/3
-3*log(x + 1) + sin(x)**2 - 2*sinh(x),5*x**4/12 - 4*x**3/3 + 5*x**2/2 - 5*x
x*sin(x) - 2*x + 3*sqrt(x + 1),-109*x**4/384 + 3*x**3/16 + 5*x**2/8 - x/2 + 3
3*cos(x) + 3*cos(2*x),17*x**4/8 - 15*x**2/2 + 6
3*cos(x)**2 + tan(x) + cosh(x)/3,73*x**4/72 + x**3/3 - 17*x**2/6 + x + 10/3
3*x**3 + sqrt(x + 1) - cosh(x),-31*x**4/384 + 49*x**3/16 - 5*x**2/8 + x/2
-3*x*sin(x) - 3*sqrt(x + 1) + cos(x),253*x**4/384 - 3*x**3/16 - 25*x**2/8 - 3*x/2 - 2
-2*exp(x) + 3*cos(x),x**4/24 - x**3/3 - 5*x**2/2 - 2*x + 1
-x**3 + 3*x*cos(x) - 3*exp(x),-x**4/8 - 3*x**3 - 3*x**2/2 - 3
-2*sqrt(x + 1) - cos(x),7*x**4/192 - x**3/8 + 3*x**2/4 - x - 3
-2*x*cos(x) - 2*sin(2*x) + 1/(2*(x + 1)),x**4/2 + 19*x**3/6 + x**2/2 - 13*x/2 + 1/2
x*cos(x)/3 + sin(x)**2/3 + cos(x)**2/2,x**4/18 - x**3/6 - x**2/6 + x/3 + 1/2
-3*log(x + 1) - cos(2*x) - 3/(x + 1),-35*x**4/12 + 2*x**3 + x**2/2 - 4
-2*x**3 - 2*x - 3*sqrt(x + 1),15*x**4/128 - 35*x**3/16 + 3*x**2/8 - 7*x/2 - 3
2*cos(x)**2 + cosh(x)/2 + exp(-x)/2,17*x**4/24 - x**3/12 - 3*x**2/2 - x/2 + 3
3*cos(2*x) + cosh(x),49*x**4/24 - 11*x**2/2 + 4
x**2/3 - sqrt(x + 1) + tanh(x),5*x**4/128 - 19*x**3/48 + 11*x**2/24 + x/2 - 1
3*x*cos(x) + 3*exp(x) + sin(x)/3,x**4/8 - 19*x**3/18 + 3*x**2/2 + 19*x/3 + 3
sin(2*x) + cosh(x)/2,x**4/48 - 4*x**3/3 + x**2/4 + 2*x + 1/2
x**3 + x*cos(x)/2 + sinh(x),11*x**3/12 + 3*x/2
3*x*sin(x) + x*cos(x)/2 - 2*sin(x)**2,x**4/6 - x**3/4 + x**2 + x/2
3*x**3 - 2*x*sin(x) + sinh(x)/3 + cosh(x)/2,17*x**4/48 + 55*x**3/18 - 7*x**2/4 + x/3 + 1/2
2*x*sin(x) - 2*sin(x)**2 + 3*cos(x)**2 - cos(2*x),2*x**4/3 - x**2 + 2
sqrt(x + 1) - 2*cos(2*x) + 2/(x + 1),241*x**4/384 - 31*x**3/16 + 47*x**2/8 - 3*x/2 + 1
2*x*sin(x) + 2*x*cos(x) + 2*cos(2*x) + 2/(x + 1),3*x**4 - 3*x**3 + 4
2*x*sin(x) - 3*x*cos(x) + 3*sin(x),-x**4/3 + x**3 + 2*x**2
-2*x**3 - 2*cos(x)**2 + 3*cos(x),-13*x**4/24 - 2*x**3 + x**2/2 + 1
-x**3 + 2*log(x + 1) + sin(x)**2 + tanh(x)/3,-5*x**4/6 - 4*x**3/9 + 7*x/3
x**2/3 + x*cos(x)/3 + 2*cos(x),x**4/12 - x**3/6 - 2*x**2/3 + x/3 + 2
x**3/3 - 3*x**2 + x*cos(x)/2 + 3*exp(-x),x**4/8 - 5*x**3/12 - 3*x**2/2 - 5*x/2 + 3
log(x + 1) + sin(2*x)/3,-x**4/4 - x**3/9 - x**2/2 + 5*x/3
3*x**3 - x*cos(x) - 3*x,7*x**3/2 - 4*x
2*x**3 + x*cos(x) + sqrt(x + 1)/3,-5*x**4/384 + 73*x**3/48 - x**2/24 + 7*x/6 + 1/3
-2*sin(x)**2 + cos(x)/2 - 2*tanh(x) + 2/(x + 1),43*x**4/16 - 4*x**3/3 - x**2/4 - 4*x + 5/2
-2*x*sin(x) + cos(2*x)/3,5*x**4/9 - 8*x**2/3 + 1/3
x**2 + 2*x + sqrt(x + 1)/2,-5*x**4/256 + x**3/32 + 15*x**2/16 + 9*x/4 + 1/2
-2*x*sin(x) + exp(x) - 3*sinh(x),3*x**4/8 - x**3/3 - 3*x**2/2 - 2*x + 1
-tan(x) + sinh(x)/3 + 2/(x + 1),2*x**4 - 41*x**3/18 + 2*x**2 - 8*x/3 + 2
log(x + 1) + 2*sinh(x) + 3*tanh(x),-x**4/4 - x**3/3 - x**2/2 + 6*x
x*sin(x)/2 + 3*cos(x)**2 - 2/(x + 1),-13*x**4/12 + 2*x**3 - 9*x**2/2 + 2*x + 1
x*sin(x)/2 - 2*sin(2*x) - tan(x),-x**4/12 + 7*x**3/3 + x**2/2 - 5*x
-3*log(x + 1) - sin(x)**2,13*x**4/12 - x**3 + x**2/2 - 3*x
